"assessid","family","species","r_fam","r_spp","r_stock","r_orig"
"ICCAT-SKJEATL-1950-2006-JENSEN","Scombridae","Katsuwonus pelamis",0.384770051485226,0.388114969541374,1.32515833047848,1.32754317878938
"ICCAT-SKJWATL-1952-2006-JENSEN","Scombridae","Katsuwonus pelamis",0.384770051485226,0.388114969541374,1.16965808844119,1.1697850336432
"MARAM-SSLOBSTERSASC-1973-2008-Johnston","Palinuridae","Palinurus gilchristi",0.845454797940419,0.910648023652676,0.967587807587503,1.0364993232759
"WGNSSK-SEELNS-1983-2007-MINTO","Ammodytidae","Ammodytes marinus",0.89508765675031,0.90388997958083,0.913537667271948,0.995615838617334
"INIDEP-ARGHAKESARG-1985-2008-Parma","Merlucciidae","Merluccius hubbsi",0.324535194854385,0.884187708458708,0.900346274689496,0.963369735058241
"INIDEP-ARGHAKENARG-1985-2007-Parma","Merlucciidae","Merluccius hubbsi",0.324535194854385,0.884187708458708,0.878427138786511,0.85815546608921
"WGBFAS-CODBA2224-1969-2007-JENNINGS","Gadidae","Gadus morhua",0.434947476874802,0.479235506288439,0.749212436382841,0.758691530404607
"WGBFAS-CODKAT-1970-2006-MINTO","Gadidae","Gadus morhua",0.434947476874802,0.479235506288439,0.672115327419449,0.69852801061077
"ICCAT-SWORDNATL-1978-2007-JENSEN","Xiphiidae","Xiphias gladius",0.377095613114809,0.37861288405556,0.655100017847745,0.664433819646571
"WGNSDS-CODIS-1968-2006-MINTO","Gadidae","Gadus morhua",0.434947476874802,0.479235506288439,0.64604702611847,0.660525201871335
"NWWG-CAPEICE-1977-2007-MINTO","Osmeridae","Mallotus villosus",0.616071759215719,0.622621527373967,0.63121782246795,0.751578212516224
"DFO-PAC-ESOLEHS-1944-2001-COLLIE","Pleuronectidae","Parophrys vetulus",0.258325541677538,0.334541220771564,0.627378960635293,0.662821205584442
"WGNSDS-CODVIa-1977-2006-MINTO","Gadidae","Gadus morhua",0.434947476874802,0.479235506288439,0.624330176840691,0.646236333998823
"WGNSSK-CODNS-1962-2007-MINTO","Gadidae","Gadus morhua",0.434947476874802,0.479235506288439,0.620797115219333,0.699653546521136
"AFWG-CAPENOR-1965-2007-MINTO","Osmeridae","Mallotus villosus",0.616071759215719,0.622621527373967,0.618426316391938,0.428476236453592
"NEFSC-BSBASSMATLC-1968-2007-SHEPHERD","Serranidae","Centropristis striata",0.422898794949729,0.523707850162995,0.61773814432583,0.651511650498999
"WGSSDS-PLAICCELT-1976-2006-JENNINGS","Pleuronectidae","Pleuronectes platessa",0.258325541677538,0.603514896642636,0.615077670287206,0.765872172345948
"SEFSC-MENATGM-1964-2004-GILROY","Clupeidae","Brevoortia patronus",0.447953640028963,0.581722425587018,0.60734831693579,0.742412693300044
"WGNSDS-PLAICIS-1962-2006-MINTO","Pleuronectidae","Pleuronectes platessa",0.258325541677538,0.603514896642636,0.605021367737864,0.614915757643268
"WGSSDS-PLAICECHW-1975-2006-JENNINGS","Pleuronectidae","Pleuronectes platessa",0.258325541677538,0.603514896642636,0.596709746848366,0.502585250852808
