stockid,tsn,scientificname,commonname,areaid,stocklong,region,inmyersdb,myersstockid
ACADRED2J3K,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-2J3K,Acadian redfish NAFO-2J3K,Canada East Coast,0,NA
ACADRED3LNO-UT12,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-3LNO-UT12,Acadian redfish Units 1-2 and NAFO-3LNO,Canada East Coast,0,NA
ACADREDGOMGB,166774,Sebastes fasciatus,Acadian redfish,USA-NMFS-5YZ,Acadian redfish Gulf of Maine / Georges Bank,US East Coast,0,NA
ACADREDUT3,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-UT3,Acadian redfish Unit 3,Canada East Coast,0,NA
AFLONCH,166156,Beryx splendens,Alfonsino,multinational-SPRFMO-CH,Alfonsino Chile,South America,0,NA
ALBAIO,172419,Thunnus alalunga,albacore tuna,multinational-IOTC-IO,Albacore tuna Indian Ocean,Indian Ocean,0,
ALBAMED,172419,Thunnus alalunga,albacore tuna,multinational-ICCAT-MED,Albacore tuna Mediterranean,Mediterranean-Black Sea,0,
ALBANATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Albacore tuna North Atlantic,Atlantic Ocean,0,NA
ALBANPAC,172419,Thunnus alalunga,Albacore tuna,Multinational-ISC-NPAC,Albacore tuna North Pacific,US West Coast,0,NA
ALBASATL,172419,Thunnus alalunga,albacore tuna,multinational-ICCAT-SATL,Albacore tuna South Atlantic,Atlantic Ocean,0,
ALBASPAC,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,Pacific Ocean,1,ALBASPAC
ALPLAICBSAI,172901,Pleuronectes quadrituberculatus,Alaska plaice,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,US Alaska,0,NA
AMPL23K,172877,Hippoglossoides platessoides,American Plaice,Canada-DFO-23K,American Plaice NAFO-23K,Canada East Coast,0,NA
AMPL3LNO,172877,Hippoglossoides platessoides,American Plaice,multinational-NAFO-3LNO,American Plaice NAFO-3LNO,Canada East Coast,1,AMPL3LNO
AMPL3M,172877,Hippoglossoides platessoides,American Plaice,multinational-NAFO-3M,American Plaice NAFO-3M,Canada East Coast,1,AMPL3M
AMPL3Ps,172877,Hippoglossoides platessoides,American Plaice,Canada-DFO-3Ps,American Plaice NAFO-3Ps,Canada East Coast,1,AMPL3Ps
AMPL4T,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4T,American plaice Southern Gulf of St. Lawrence,Canada East Coast,0,
AMPL4VWX,172877,Hippoglossoides platessoides,American plaice,Canada-DFO-4VWX,American plaice Scotian Shelf and Bay of Fundy,Canada East Coast,0,NA
AMPL5YZ,172877,Hippoglossoides platessoides,American Plaice,USA-NMFS-5YZ,American Plaice NAFO-5YZ,US East Coast,1,AMPL5YZ
ANCHMEDGSA1,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA1,Anchovy Northern Alboran Sea,Mediterranean-Black Sea,0,NA
ANCHMEDGSA16,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA16,Anchovy South of Sicily,Mediterranean-Black Sea,0,NA
ANCHMEDGSA17-18,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA17-18,Anchovy Adriatic Sea,Mediterranean-Black Sea,0,NA
ANCHMEDGSA19,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA19,Anchovy Western Ionian Sea,Mediterranean-Black Sea,0,NA
ANCHMEDGSA20,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA20,Anchovy Eastern Ionian Sea,Mediterranean-Black Sea,0,NA
ANCHMEDGSA22,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA22,Anchovy Aegean Sea,Mediterranean-Black Sea,0,NA
ANCHMEDGSA29,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA29,Anchovy Black Sea,Mediterranean-Black Sea,0,NA
ANCHMEDGSA6,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA6,Anchovy Northern Spain,Mediterranean-Black Sea,0,NA
ANCHMEDGSA7,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA7,Anchovy Gulf of Lions,Mediterranean-Black Sea,0,NA
ANCHMEDGSA9,161831,Engraulis encrasicolus,Anchovy,multinational-GFCM-GSA9,Anchovy Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea,0,NA
ANCHOBAYB,161831,Engraulis encrasicolus,Anchovy,multinational-ICES-VIII,Anchovy ICES VIII,European Union,1,ANCHOBAYB
ANCHOSA,161831,Engraulis encrasicolus,Anchovy,South Africa-DETMCM-SA,Anchovy South Africa,South Africa,1,SAANCH
ANCHOVYKILKACS,551220,Clupeonella engrauliformis,Anchovy kilka,Iran-Iran-CS,Anchovy kilka Caspian Sea,Other,0,NULL
ANCHOWA,161831,Engraulis encrasicolus,Anchovy,multinational-FAO-WA,Anchovy West Africa,West Africa,0,NA
ANGLMEDGSA15-16,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA15-16,Black Bellied Angler Malta Island and South of Sicily,Mediterranean-Black Sea,0,NA
ANGLMEDGSA5,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA5,Black bellied angler Balearic Island,Mediterranean-Black Sea,0,NA
ANGLMEDGSA6,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA6,Black bellied angler Northern Spain,Mediterranean-Black Sea,0,NA
ANGLMEDGSA7,164502,Lophius budegassa,Black bellied angler,multinational-GFCM-GSA7,Black bellied angler Gulf of Lions,Mediterranean-Black Sea,0,NA
APOLLPJPN,164722,Theragra chalcogramma,Walleye pollock,Japan-FAFRFJ-PJPN,Alaskan Pollock Pacific Coast of Japan,Russia Japan,0,NA
ARCSURF4RST,80983,Mactromeris polynyma,Arctic surfclam,Canada-DFO-4RST,Arctic surfclam Quebec and Gulf of St. Lawrence,Canada East Coast,0,NA
