"fishery","nstocks","stocks1","nyr","corr_avg","vr","vr_scaled"
"ICCAT South Atlantic tunas",2,"2 - ALBASATL, SWORDSATL",57,0.833779160388997,1.65931758920333,1.71047682211039
"IOTC Indian Ocean tunas",4,"4 - BLKMARLINIO, BMARLINIO, SKJCIO, STMARLINIO",62,0.811036787783914,2.41383076692086,3.27990944232896
"SPC West Pacific tunas",4,"4 - BIGEYECWPAC, SKJCWPAC, STMARLINSWPO, YFINCWPAC",40,0.803952724562747,2.87805401372939,3.28171493649521
"ICCAT Atlantic tunas",2,"2 - SAILEATL, YFINATL",51,0.764102209105829,1.69967976242978,1.75379725157846
"Australia SE scalefish/sharks",3,"3 - NZLINGESE, SILVERFISHSE, TIGERFLATSE",28,0.703761753937252,2.30151501206214,2.13537238318989
"ICCAT East Atlantic tunas",5,"5 - BIGEYEATL, BMARLINATL, SKJEATL, SWORDNATL, WMARLINATL",51,0.6789768843897,3.71346664733199,3.63055003871906
"ICCAT West Atlantic tunas",2,"2 - SAILWATL, SKJWATL",51,0.573456351767997,1.07496192024893,1.54877552523357
"IATTC East Pacific tunas",2,"2 - STMARLINNEPAC, SWORDEPAC",35,0.512544641565129,1.43332639262154,1.43109517712297
"USA West Coast DTS",4,"4 - DSOLEPCOAST, LSTHORNHPCOAST, SABLEFPCOAST, SSTHORNHPCOAST",47,0.476842432677947,1.53123689773182,1.97670709779153
"NZ Chatham Rise middle-depth",3,"3 - HOKIENZ, NZLINGLIN3-4, SOUTHHAKECR",35,0.405081000736934,1.44852193092042,1.83356252857081
"USA GB groundfish",3,"3 - CODGB, HADGB, YELLGB",31,0.292329764947159,1.18073653950406,1.40604606262889
"USA GB/GOM groundfish",3,"3 - ACADREDGOMGB, POLL5YZ, WHAKEGBGOM",38,0.234089028344334,1.22969109110168,1.48499550087203
"ICCAT Mediterranean tunas",2,"2 - ALBAMED, SWORDMED",24,-0.000151621623486971,0.999959921234273,0.999883130804394
"ISC North Pacific tunas",2,"2 - ALBANPAC, SWORDNPAC",20,-0.00281421388852327,0.997379487168835,0.99744853602747
"USA GOM groundfish",3,"3 - HAD5Y, WITFLOUN5Y, YELLCCODGOM",23,-0.0355588609585351,1.2633709717051,1.0355782724841
"USA BSAI groundfish",3,"3 - WPOLLAI, WPOLLEBS, YSOLEBSAI",36,-0.140157923329232,0.769503671413763,0.856391454702225
