"fishery","name","stockid","catch","er","family","resilience"
"Australia SE scalefish/sharks fishery","Tiger flathead (Platycephalus richardsoni)","TIGERFLATSE","3328 / 48.5%","Yes","Platycephalidae","Medium"
"Australia SE scalefish/sharks fishery","Silverfish (Seriolella punctata)","SILVERFISHSE","2744 / 40%","Yes","Centrolophidae","Medium"
"Australia SE scalefish/sharks fishery","Ling (Genypterus blacodes)","NZLINGESE","794 / 11.6%","Yes","Ophidiidae","Low"
"Australia SE scalefish/sharks fishery","Blue grenadier (Macruronus novaezelandiae)","BGRDRSE","no catch data","---","Merlucciidae","Low"
"IATTC East Pacific tunas fishery","Skipjack tuna (Katsuwonus pelamis)","SKJEPAC","261400 / 44.3%","---","Scombridae","Medium"
"IATTC East Pacific tunas fishery","Yellowfin tuna (Thunnus albacares)","YFINEPAC","217600 / 36.8%","---","Scombridae","Medium"
"IATTC East Pacific tunas fishery","Bigeye tuna (Thunnus obesus)","BIGEYEEPAC","105880 / 17.9%","---","Scombridae","Medium"
"IATTC East Pacific tunas fishery","Swordfish (Xiphias gladius)","SWORDEPAC","4430 / 0.8%","Yes","Xiphiidae","Medium"
"IATTC East Pacific tunas fishery","Striped marlin (Kajikia audax)","STMARLINNEPAC","1346 / 0.2%","Yes","Istiophoridae","Low"
"ICCAT Atlantic tunas fishery","Yellowfin tuna (Thunnus albacares)","YFINATL","106000 / 98%","Yes","Scombridae","Medium"
"ICCAT Atlantic tunas fishery","Sailfish (Istiophorus albicans)","SAILEATL","2114 / 2%","Yes","Istiophoridae","Medium"
"ICCAT East Atlantic tunas fishery","Skipjack tuna (Katsuwonus pelamis)","SKJEATL","134800 / 58.5%","Yes","Scombridae","Medium"
"ICCAT East Atlantic tunas fishery","Bigeye tuna (Thunnus obesus)","BIGEYEATL","72520 / 31.5%","Yes","Scombridae","Medium"
"ICCAT East Atlantic tunas fishery","Swordfish (Xiphias gladius)","SWORDNATL","11700 / 5.1%","Yes","Xiphiidae","Medium"
"ICCAT East Atlantic tunas fishery","Atlantic bluefin tuna (Thunnus thynnus)","ATBTUNAEATL","7108 / 3.1%","---","Scombridae","Low"
"ICCAT East Atlantic tunas fishery","Blue marlin (Makaira nigricans)","BMARLINATL","3628 / 1.6%","Yes","Istiophoridae","Medium"
"ICCAT East Atlantic tunas fishery","White marlin (Kajikia albida)","WMARLINATL","554 / 0.2%","Yes","Istiophoridae","Medium"
"ICCAT Mediterranean tunas fishery","Swordfish (Xiphias gladius)","SWORDMED","13048 / 73.9%","Yes","Xiphiidae","Medium"
"ICCAT Mediterranean tunas fishery","Albacore tuna (Thunnus alalunga)","ALBAMED","4600 / 26.1%","Yes","Scombridae","Medium"
"ICCAT South Atlantic tunas fishery","Albacore tuna (Thunnus alalunga)","ALBASATL","22000 / 66.6%","Yes","Scombridae","Medium"
"ICCAT South Atlantic tunas fishery","Swordfish (Xiphias gladius)","SWORDSATL","11024 / 33.4%","Yes","Xiphiidae","Medium"
"ICCAT West Atlantic tunas fishery","Skipjack tuna (Katsuwonus pelamis)","SKJWATL","24540 / 89%","Yes","Scombridae","Medium"
"ICCAT West Atlantic tunas fishery","Atlantic bluefin tuna (Thunnus thynnus)","ATBTUNAWATL","1858 / 6.7%","---","Scombridae","Low"
"ICCAT West Atlantic tunas fishery","Sailfish (Istiophorus albicans)","SAILWATL","1177 / 4.3%","Yes","Istiophoridae","Medium"
"IOTC Indian Ocean tunas fishery","Skipjack tuna (Katsuwonus pelamis)","SKJCIO","404000 / 41.4%","Yes","Scombridae","Medium"
"IOTC Indian Ocean tunas fishery","Yellowfin tuna (Thunnus albacares)","YFINEIO","375200 / 38.4%","---","Scombridae","Medium"
"IOTC Indian Ocean tunas fishery","Bigeye tuna (Thunnus obesus)","BIGEYEIO","103300 / 10.6%","---","Scombridae","Medium"
"IOTC Indian Ocean tunas fishery","Albacore tuna (Thunnus alalunga)","ALBAIO","36220 / 3.7%","---","Scombridae","Medium"
"IOTC Indian Ocean tunas fishery","Swordfish (Xiphias gladius)","SWORDIO","27480 / 2.8%","---","Xiphiidae","Medium"
"IOTC Indian Ocean tunas fishery","Black marlin (Istiompax indica)","BLKMARLINIO","13296 / 1.4%","Yes","Istiophoridae","Medium"
"IOTC Indian Ocean tunas fishery","Indo-pacific blue marlin (Makaira mazara)","BMARLINIO","12576 / 1.3%","Yes","Istiophoridae","Low"
"IOTC Indian Ocean tunas fishery","Striped marlin (Kajikia audax)","STMARLINIO","3958 / 0.4%","Yes","Istiophoridae","Low"
"ISC North Pacific tunas fishery","Albacore tuna (Thunnus alalunga)","ALBANPAC","77980 / 50.4%","Yes","Scombridae","Medium"
"ISC North Pacific tunas fishery","Blue shark (Prionace glauca)","BLSHARNPAC","46120 / 29.8%","---","Carcharhinidae","Very low"
"ISC North Pacific tunas fishery","Blue marlin (Makaira nigricans)","BMARLINPAC","18240 / 11.8%","---","Istiophoridae","Medium"
"ISC North Pacific tunas fishery","Swordfish (Xiphias gladius)","SWORDNPAC","12392 / 8%","Yes","Xiphiidae","Medium"
"NZ Chatham Rise middle-depth fishery","Hoki (Macruronus novaezelandiae)","HOKIENZ","58240 / 92.4%","Yes","Merlucciidae","Low"
"NZ Chatham Rise middle-depth fishery","Ling (Genypterus blacodes)","NZLINGLIN3-4","3698 / 5.9%","Yes","Ophidiidae","Low"
"NZ Chatham Rise middle-depth fishery","Southern hake (Merluccius australis)","SOUTHHAKECR","1068 / 1.7%","Yes","Merlucciidae","Low"
"SPC West Pacific tunas fishery","Skipjack tuna (Katsuwonus pelamis)","SKJCWPAC","1664000 / 70.5%","Yes","Scombridae","Medium"
"SPC West Pacific tunas fishery","Yellowfin tuna (Thunnus albacares)","YFINCWPAC","546000 / 23.1%","Yes","Scombridae","Medium"
"SPC West Pacific tunas fishery","Bigeye tuna (Thunnus obesus)","BIGEYECWPAC","148200 / 6.3%","Yes","Scombridae","Medium"
"SPC West Pacific tunas fishery","Striped marlin (Kajikia audax)","STMARLINSWPO","1642 / 0.1%","Yes","Istiophoridae","Low"
"USA BSAI groundfish fishery","Walleye pollock (Theragra chalcogramma)","WPOLLEBS","1156000 / 88.5%","Yes","Gadidae","Low"
"USA BSAI groundfish fishery","Yellowfin sole (Limanda aspera)","YSOLEBSAI","147800 / 11.3%","Yes","Pleuronectidae","Low"
"USA BSAI groundfish fishery","Walleye pollock (Theragra chalcogramma)","WPOLLAI","1763 / 0.1%","Yes","Gadidae","Low"
"USA BSAI groundfish fishery","Pacific cod (Gadus macrocephalus)","PCODBSAI","no catch data","---","Gadidae","Low"
"USA GB groundfish fishery","Haddock (Melanogrammus aeglefinus)","HADGB","20700 / 72.5%","Yes","Gadidae","Medium"
"USA GB groundfish fishery","Atlantic cod (Gadus morhua)","CODGB","4812 / 16.9%","Yes","Gadidae","Medium"
"USA GB groundfish fishery","Winter flounder (Pseudopleuronectes americanus)","WINFLOUN5Z","1568 / 5.5%","---","Pleuronectidae","Medium"
"USA GB groundfish fishery","Yellowtail flounder (Limanda ferruginea)","YELLGB","1462 / 5.1%","Yes","Pleuronectidae","Medium"
"USA GB/GOM groundfish fishery","Pollock (Pollachius virens)","POLL5YZ","8010 / 51.6%","Yes","Gadidae","Medium"
"USA GB/GOM groundfish fishery","Acadian redfish (Sebastes fasciatus)","ACADREDGOMGB","3456 / 22.3%","Yes","Sebastidae","Low"
"USA GB/GOM groundfish fishery","White hake (Urophycis tenuis)","WHAKEGBGOM","2476 / 16%","Yes","Phycidae","Low"
"USA GB/GOM groundfish fishery","American plaice (Hippoglossoides platessoides)","AMPL5YZ","1580 / 10.2%","---","Pleuronectidae","Low"
