comm_name,species
American plaice,Hippoglossoides platessoides
Atlantic cod,Gadus morhua
Atlantic halibut,Hippoglossus hippoglossus
Atlantic pollock,Pollachius pollachius
Atlantic wolffish,Anarhichas lupus
Haddock,Melanogrammus aeglefinus
Ocean pout,Zoarces americanus
Redfish,Sebastes fasciatus
White hake,Urophycis tenuis
Windowpane flounder,Scophthalmus aquosus
Winter flounder,Pseudopleuronectes americanus
Witch flounder,Glyptocephalus cynoglossus
Yellowtail flounder,Limanda ferruginea
